A	Agilent Technologies	Life Sciences Tools & Services	53.65B
AA	Alcoa	Metals & Mining	9.25B
AAC	Ares Acquisition	Shell Companies	1.22B
AACG	ATA Creativity Global	Diversified Consumer Services	90.35M
AADI	Aadi Bioscience	Pharmaceuticals	104.85M
AAIC	Arlington Asset Investment	Mortgage Real Estate Investment Trus...	120.92M
AAL	American Airlines	Airlines	12.27B
AAMC	Altisource Asset Management	Real Estate Management & Development	57.74M
AAME	Atlantic American	Insurance	80.01M
AAN	The Aaron's Company	Specialty Retail	857.00M
AAOI	Applied Optoelectronics	Communications Equipment	201.66M
AAON	AAON, Inc.	Building Products	3.41B
AAP	Advance Auto Parts	Specialty Retail	12.60B
AAPL	Apple	Technology Hardware, Storage & Periph...	2,462.50B
AAQC	Accelerate Acquisition	Shell Companies	483.00M
AAT	American Assets Trust	Equity Real Estate Investment Trusts...	2.31B
AATC	Autoscope Technologies	Scientific & Technical Instruments	44.17M
AAU	Almaden Minerals	Metals & Mining	56.19M
AAWW	Atlas Air Worldwide Holdings	Air Freight & Logistics	2.15B
AB	AllianceBernstein	Capital Markets	5.17B
ABB	ABB Ltd.	Electrical Equipment	73.77B
ABBV	AbbVie	Biotechnology	188.52B
ABC	AmerisourceBergen	Health Care Providers & Services	25.52B
ABCB	Ameris Bancorp	Banks	3.25B
ABCL	AbCellera Biologics	Biotechnology	5.29B
ABCM	Abcam PLC	Biotechnology	4.76B
ABEO	Abeona Therapeutics	Biotechnology	130.58M
ABEV	Ambev	Beverages	48.73B
ABG	Asbury Automotive Group	Specialty Retail	3.31B
ABGI	ABG Acquisition I	Shell Companies	187.42M
ABIO	ARCA biopharma	Biotechnology	43.95M
ABM	ABM Industries	Commercial Services & Supplies	3.11B
ABMD	Abiomed	Health Care Equipment & Supplies	16.39B
ABNB	Airbnb	Hotels, Restaurants & Leisure	103.85B
ABOS	Acumen Pharmaceuticals	Biotechnology	657.08M
ABR	Arbor Realty Trust	Mortgage Real Estate Investment Trus...	2.56B
ABSI	Absci	Biotechnology	1.27B
ABST	Absolute Software	Software-Application	584.39M
ABT	Abbott Laboratories	Health Care Equipment & Supplies	228.34B
ABTX	Allegiance Bancshares	Banks	711.56M
ABUS	Arbutus Biopharma	Biotechnology	434.33M
ABVC	ABVC BioPharma	Biotechnology	85.65M
AC	Associated Capital Group	Capital Markets	814.56M
ACA	Arcosa	Construction & Engineering	2.38B
ACAD	ACADIA Pharmaceuticals	Biotechnology	2.58B
ACAH	Atlantic Coastal Acquisition	Shell Companies	418.31M
ACB	Aurora Cannabis	Pharmaceuticals	1.31B
ACBA	Ace Global Business Acquisition	Shell Companies	52.80M
ACBI	Atlantic Capital Bancshares	Banks	473.26M
ACC	American Campus Communities	Equity Real Estate Investment Trusts...	6.94B
ACCD	Accolade	Health Care Technology	3.12B
ACCO	ACCO Brands	Commercial Services & Supplies	857.47M
ACEL	Accel Entertainment	Hotels, Restaurants & Leisure	1.09B
ACER	Acer Therapeutics	Pharmaceuticals	38.35M
ACET	Adicet Bio	Health Care Providers & Services	242.32M
ACEV	ACE Convergence Acquisition	Shell Companies	284.34M
ACGL	Arch Capital Group	Insurance	15.42B
ACH	Aluminum Corporation of China	Metals & Mining	22.20B
ACHC	Acadia Healthcare Company	Health Care Providers & Services	5.81B
ACHL	Achilles Therapeutics	Biotechnology	250.12M
ACHV	Achieve Life Sciences	Biotechnology	75.71M
ACI	Albertsons Companies	Grocery Stores	14.01B
ACIC	Atlas Crest Investment	Shell Companies	608.12M
ACII	Atlas Crest Investment II	Shell Companies	418.39M
ACIU	AC Immune	Biotechnology	518.01M
ACIW	ACI Worldwide	Software	3.77B
ACKIT	Ackrell SPAC Partners I	Shell Companies	143.53M
ACLS	Axcelis Technologies	Semiconductors & Semiconductor Equipment	1.64B
ACM	Aecom	Construction & Engineering	9.41B
ACMR	ACM Research	Semiconductors & Semiconductor Equipment	2.08B
ACN	Accenture	IT Services	227.87B
ACNB	ACNB Corporation	Banks	240.01M
ACOR	Acorda Therapeutics	Biotechnology	51.95M
ACQR	Independence Holdings	Shell Companies	604.21M
ACR	ACRES Commercial Realty	Mortgage Real Estate Investment Trus...	149.36M
ACRE	Ares Commercial Real Estate	Mortgage Real Estate Investment Trus...	726.18M
ACRO	Acropolis Infrastructure Acquisition	Shell Companies	361.88M
ACRS	Aclaris Therapeutics	Pharmaceuticals	1.08B
ACRX	AcelRx Pharmaceuticals	Pharmaceuticals	121.56M
ACST	Acasti Pharma	Pharmaceuticals	103.84M
ACTD	Arclight Clean Transition II	Shell Companies	327.82M
ACTG	Acacia Research	Professional Services	342.54M
ACU	Acme United	Commercial Services & Supplies	142.56M
ACVA	ACV Auctions	Software-Application	3.08B
ACXP	Acurx Pharmaceuticals	Biotechnology	50.60M
ACY	AeroCentury	Trading Companies & Distributors	52.90M
