
BloombergExchangeCode	BloombergCompositeCode	Country	Description	ISOMIC	Google Prefix	EODcode	NumStocks
AF	AR	Argentina	Bolsa de Comercio de Buenos Aires	XBUE		BA	12
AO	AU	Australia	National Stock Exchange of Australia	XNEC			1
AT	AU	Australia	Asx - All Markets	XASX	ASX	AU	875
AV		Austria	Wiener Boerse Ag	XWBO	VIE	VI	38
BI		Bahrain	Bahrain Bourse	XBAH			4
BD		Bangladesh	Dhaka Stock Exchange Ltd	XDHA			18
BB		Belgium	Nyse Euronext - Euronext Brussels	XBRU	EBR	BR	75
BS	BZ	Brazil	XBSP	BVMF	BVMF	SA	369
CF	CN	Canada	Canadian Securities Exchange	XCNQ		CN	59
CT	CN	Canada	Toronto Stock Exchange	XTSE	TSE	TO	520
CV	CN	Canada	TSX Venture Exchange	XTSX		V	138
QF	CN	Canada	Aequitas NEO Exchange (Lit Book)	NEOE		NEO	2
CC	CI	Chile	Santiago Stock Exchange	XSGO		SN	65
CG	CH	China	Shanghai Stock Exchange	XSHG	SHA	SHG	1,268
CS	CH	China	Shenzhen Stock Exchange	XSHE	SHE	SHE	1,806
CX	CB	Colombia	Bolsa De Valores De Colombia	XBOG			33
ZA	CZ	Croatia	Zagreb Stock Exchange	XZAG			1
CY		Cyprus	Cyprus Stock Exchange	XCYS			1
CK	CP	Czech Republic	Prague Stock Exchange	XPRA	PRG		10
DC		Denmark	Omx Nordic Exchange Copenhagen A/S	XCSE	CPH	CO	65
EC	EY	Egypt	Egyptian Exchange	XCAI	CAI		33
FH		Finland	Nasdaq Omx Helsinki Ltd.	XHEL	HEL	HE	74
FP		France	Euronext Paris	XPAR	EPA	PA	236
BQ	GR	Germany	Equiduct Trading	XEQT			3
GB	GR	Germany	Boerse Berlin	XBER	FRA	BE	3
GD	GR	Germany	Dusseldorf Stock Exchange	XDUS		DU	1
GF	GR	Germany	Frankfurt Stock Exchange	XFRA	FRA	F	167
GM	GR	Germany	Munich Stock Exchange	XMUN		MU	1
GS	GR	Germany	Stuttgart Stock Exchange	XSTU		STU	1
GY	GR	Germany	Deutsche Boerse Xetra	XETR	ETR	XETRA	106
QT	GR	Germany	QUOTRIX	XQTX			1
GA		Greece	Athens Exchange S.A. Cash Market	XATH	ATH	AT	28
HK		Hong Kong	Hong Kong Exchange	XHKG	HKG	HK	1,836
HB		Hungary	Budapest Stock Exchange	XBUD	BDP	BUD	5
RF		Iceland	First North Iceland	XICE			1
IB	IN	India	BSE LTD	XBOM	BOM	BSE	440
IS	IN	India	National Stock Exchange Of India	XNSE	NSE	NSE	556
IJ		Indonesia	Indonesia Stock Exchange	XIDX	JAK	JK	130
ID		Ireland	Irish Stock Exchange - All Market	XDUB	IRE	IR	29
IT		Israel	Tel Aviv Stock Exchange	XTAE	TLV	TA	161
IM		Italy	Borsa Italiana S.P.A.	MTAA	BIT	MI	146
JT	JP	Japan	Tokyo Stock Exchange	XTKS	TYO	TSE	1,734
JR		Jordan	Amman Stock Exchange	XAMM			5
KN		Kenya	Nairobi Stock Exchange	XNAI			5
KK		Kuwait	Kuwait Stock Exchange	XKUW			33
LX		Luxembourg	Luxembourg Stock Exchange	XLUX			1
MK		Malaysia	Bursa Malaysia	XKLS	KUL	KLSE	252
MM		Mexico	Bolsa Mexicana De Valores (Mexican Stock Exchange)	XMEX	BMV	MX	90
MC		Morocco	Casablanca Stock Exchange	XCAS			12
NZ		New Zealand	New Zealand Exchange Ltd	XNZE	NZE	NZ	55
NL		Nigeria	Nigerian Stock Exchange	XNSA			12
NO		Norway	Oslo Bors Asa	XOSL		OL	113
NS		Norway	Norwegian OTC Market	NOTC			1
OM		Oman	Muscat Securities Market	XMUS			9
